Name_VI,Tổng (ha),Rừng tự nhiên (ha),Rừng trồng (ha),Tỷ lệ che phủ rừng (%)
An Giang,13.907,1.117,12.789,"3,68"
Bà Rịa-Vũng Tàu,28.55,16.465,12.085,"13,79"
Bắc Giang,160.223,55.092,105.131,"38,00"
Bắc Kạn,373.597,272.35,101.247,"73,35"
Bạc Liêu,4.488,1.906,2.581,"1,61"
Bắc Ninh,556,-,556,"0,68"
Bến Tre,4.482,1.25,3.232,"1,83"
Bình Định,381.11,214.544,166.567,"56,92"
Bình Dương,9.878,1.809,8.069,"3,03"
Bình Phước,159.445,55.978,103.467,"22,66"
Bình Thuận,349.625,296.927,52.699,"43,11"
Cà Mau,93.093,11.535,81.557,"14,74"
Cao Bằng,380.099,358.391,21.708,"56,00"
Đắk Lắk,505.557,413.845,91.711,"38,03"
Đắk Nông,254.359,196.02,58.339,"38,52"
Điện Biên,417.344,409.033,8.311,"43,54"
Đồng Nai,181.376,123.939,57.437,"29,24"
Đồng Tháp,6.041,-,6.041,"1,68"
Gia Lai,648.278,478.75,169.529,"40,89"
Hà Giang,475.001,385.688,89.313,"58,58"
Hà Nam,5.578,4.373,1.205,"6,47"
Hà Tĩnh,337.231,217.327,119.904,"52,56"
Hải Dương,9.16,2.241,6.919,"5,33"
Hậu Giang,3.794,-,3.794,"1,83"
Hoà Bình,266.509,141.614,124.895,"51,69"
Hưng Yên,-,-,-,-
Khánh Hoà,244.332,176.383,67.949,"45,41"
Kiên Giang,76.7,58.02,18.68,"11,93"
Kon Tum,624.66,547.604,77.056,"63,05"
Lai Châu,473.927,450.392,23.534,"51,87"
Lâm Đồng,538.234,454.534,83.7,"54,44"
Lạng Sơn,572.095,255.522,316.573,"63,70"
Lào Cai,382.861,266.753,116.108,"57,70"
Long An,21.826,838,20.988,"4,00"
Nam Định,3.045,-,3.045,"1,78"
Nghệ An,1.014.075,789.934,224.141,"58,36"
Ninh Bình,27.892,23.036,4.857,"19,62"
Ninh Thuận,160.424,147.42,13.004,"47,11"
Phú Thọ,169.333,47.403,121.93,"39,90"
Phú Yên,250.659,126.974,123.685,"45,95"
Quảng Bình,590.038,469.317,120.722,"68,69"
Quảng Nam,680.806,463.53,217.276,"58,71"
Quảng Ngãi,333.05,106.672,226.378,"51,01"
Quảng Ninh,370.213,121.872,248.341,"55,00"
Quảng Trị,248.122,126.692,121.429,"49,90"
Sóc Trăng,10.246,1.733,8.513,"2,54"
Sơn La,672.934,594.076,78.858,"47,30"
Tây Ninh,66.569,46.425,20.144,"16,16"
Thái Bình,4.248,-,4.248,"2,49"
Thái Nguyên,165.749,62.452,103.297,"47,06"
Thanh Hoá,647.737,393.361,254.376,"53,60"
Thừa Thiên Huế,305.56,205.602,99.958,"57,15"
Tiền Giang,2.591,-,2.591,"0,99"
TP Cần Thơ,-,-,-,-
TP Đà Nẵng,63.044,43.126,19.919,"45,50"
TP Hà Nội,19.514,7.587,11.926,"5,59"
TP Hải Phòng,13.84,9.072,4.768,"8,63"
TP Hồ Chí Minh,33.557,13.509,20.049,"15,93"
Trà Vinh,9.539,2.955,6.583,"4,07"
Tuyên Quang,426.205,233.133,193.072,"65,21"
Vĩnh Long,-,-,-,-
Vĩnh Phúc,33.357,12.049,21.308,"25,00"
Yên Bái,463.811,215.913,247.898,"63,00"
